epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,0.6026515364646912,0.4849493205547333
1,0.0010000000474974513,0.23222963511943817,0.37899041175842285
2,0.0010000000474974513,0.19147877395153046,0.3151009678840637
3,0.0010000000474974513,0.17391829192638397,0.29353463649749756
4,0.0010000000474974513,0.1596093475818634,0.2603151202201843
5,0.0010000000474974513,0.1423187255859375,0.18992695212364197
6,0.0010000000474974513,0.12324468791484833,0.14891421794891357
7,0.0010000000474974513,0.10515338182449341,0.12373354285955429
8,0.0010000000474974513,0.08685573935508728,0.11902699619531631
9,0.0010000000474974513,0.07977812737226486,0.11102566868066788
10,0.0010000000474974513,0.07549430429935455,0.10009294003248215
11,0.0010000000474974513,0.06923378258943558,0.08655788749456406
12,0.0010000000474974513,0.06500443816184998,0.07976531237363815
13,0.0010000000474974513,0.06162881851196289,0.07358229905366898
14,0.0010000000474974513,0.0594671294093132,0.06858821958303452
15,0.0010000000474974513,0.05607394874095917,0.06369076669216156
16,0.0010000000474974513,0.05484280362725258,0.06064971536397934
17,0.0010000000474974513,0.051698632538318634,0.05620106682181358
18,0.0010000000474974513,0.04915652051568031,0.05289022997021675
19,0.0010000000474974513,0.04695866256952286,0.049960456788539886
20,0.0010000000474974513,0.04452972859144211,0.047165848314762115
21,0.0010000000474974513,0.042550377547740936,0.04494274780154228
22,0.0010000000474974513,0.04089903086423874,0.04299917072057724
23,0.0010000000474974513,0.03911967948079109,0.0410011000931263
24,0.0010000000474974513,0.0376407727599144,0.03937019780278206
25,0.0010000000474974513,0.03631184995174408,0.03765981271862984
26,0.0010000000474974513,0.034287139773368835,0.03571221977472305
27,0.0010000000474974513,0.03396781533956528,0.03468173369765282
28,0.0010000000474974513,0.031196171417832375,0.03259710967540741
29,0.0010000000474974513,0.03141345456242561,0.032327648252248764
