epoch,learning_rate,loss,val_loss
0,9.999999747378752e-05,1.802749514579773,1.3291707038879395
1,9.999999747378752e-05,1.3248262405395508,1.328991413116455
2,9.999999747378752e-05,1.210370659828186,1.3927534818649292
3,9.999999747378752e-05,1.1304782629013062,1.3986573219299316
4,9.999999747378752e-05,1.0690850019454956,1.5436420440673828
5,9.999999747378752e-05,1.0447269678115845,1.4772963523864746
6,4.999999873689376e-05,1.0257405042648315,1.433168649673462
7,4.999999873689376e-05,1.000832200050354,1.5455394983291626
8,4.999999873689376e-05,0.9941623210906982,1.4432426691055298
9,4.999999873689376e-05,0.956080436706543,1.508552074432373
